Table S7. Input normalisation by gene, Claude Opus 4.5, variant-call rendering,
527 (sample, gene) pairs. Coverage is call/(call + abstention); accuracy is among
emitted calls, against the deterministic caller, with diplotypes unordered.
Provider failures and output-budget truncations are excluded from both denominators.
Generated by code/88-supp-normalisation-by-gene.py from the deposited raw rows.

gene          pairs  cov -defs  acc -defs  cov +defs  acc +defs
CYP2B6           51      0.882      0.156      0.980      1.000
CYP2C19          72      1.000      0.819      1.000      0.986
CYP2C9           72      1.000      0.778      1.000      1.000
CYP2D6           72      0.931      0.030      0.986      0.789
CYP3A5           59      0.864      0.412      0.966      0.982
CYP4F2           37      0.946      0.400      1.000      1.000
NUDT15           11      0.909      0.000      1.000      1.000
SLCO1B1          58      1.000      0.086      1.000      1.000
TPMT             68      0.853      0.534      1.000      1.000
UGT1A1           27      0.889      0.000      0.630      1.000
