cohort	gene	diplotype	phenotype	n_carriers
Peru	CACNA1S	Reference/Reference	Uncertain Susceptibility	736
Peru	CFTR	Reference/Reference	Indeterminate	736
Peru	CYP2B6	*1/*1	Normal Metabolizer	736
Peru	CYP2C19	*1/*1	Normal Metabolizer	736
Peru	CYP2C9	*1/*1	Normal Metabolizer	710
Peru	CYP2C9	*1/*11	Intermediate Metabolizer	4
Peru	CYP2C9	*1/*3	Intermediate Metabolizer	20
Peru	CYP2C9	*3/*3	Poor Metabolizer	2
Peru	CYP2D6	*2/*2	Normal Metabolizer	736
Peru	CYP3A5	*1/*1	Normal Metabolizer	32
Peru	CYP3A5	*1/*3	Intermediate Metabolizer	209
Peru	CYP3A5	*3/*3	Poor Metabolizer	495
Peru	CYP4F2	*1/*1	Indeterminate	623
Peru	CYP4F2	*1/*3	Indeterminate	102
Peru	CYP4F2	*1/*6	Indeterminate	7
Peru	CYP4F2	*3/*3	Indeterminate	4
Peru	DPYD	c.1627A>G (*5)/c.1627A>G (*5)	Normal Metabolizer	174
Peru	DPYD	c.1627A>G (*5)/c.1896T>C	Normal Metabolizer	64
Peru	DPYD	c.1896T>C/c.1896T>C	Normal Metabolizer	8
Peru	DPYD	c.496A>G/c.1627A>G (*5)	Normal Metabolizer	6
Peru	DPYD	c.496A>G/c.1896T>C	Normal Metabolizer	1
Peru	DPYD	c.85T>C (*9A)/c.1627A>G (*5)	Normal Metabolizer	282
Peru	DPYD	c.85T>C (*9A)/c.1896T>C	Normal Metabolizer	65
Peru	DPYD	c.85T>C (*9A)/c.496A>G	Normal Metabolizer	8
Peru	DPYD	c.85T>C (*9A)/c.85T>C (*9A)	Normal Metabolizer	128
Peru	IFNL3	Reference/Reference	Favorable Response	217
Peru	IFNL3	Reference/rs12979860	Unfavorable Response	223
Peru	IFNL3	Reference/rs12980275	Indeterminate	28
Peru	IFNL3	Reference/rs8099917	Indeterminate	5
Peru	IFNL3	rs12979860/rs12979860	Unfavorable Response	132
Peru	IFNL3	rs12979860/rs12980275	Unfavorable Response	127
Peru	IFNL3	rs8099917/rs12979860	Unfavorable Response	1
Peru	IFNL3	rs8099917/rs12980275	Indeterminate	3
Peru	NAT2	*12/*12	Indeterminate	121
Peru	NAT2	*12/*13	Indeterminate	7
